station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7247,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,12,2,10
7248,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448,20,8,12
7249,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,12,7,5
7250,St. George St / Russell St - SMART,43.660296,-79.397107,16,1,15
7251,The Royal Ontario Museum (Bloor St Entrance),43.668561,-79.394403,19,10,9
7252,Robert St / Bloor St W - SMART,43.665846,-79.404998,18,14,4
7253,John St  / Mercer St - SMART,43.6461,-79.3895,12,11,0
7254,Borden St / Bloor St W - SMART,43.665461,-79.40848,12,5,7
7255,Stewart St / Bathurst St  - SMART,43.643307,-79.402176,16,5,11
7256,Vanauley St / Queen St W - SMART,43.648437,-79.39838,9,4,5
7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,19,8,11
7258,Queen St E / Larchmount Ave,43.662279,-79.334166,25,18,6
7259,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,19,14,5
7260,Spadina Ave / Adelaide St W,43.646688,-79.395267,15,11,4
7261,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,26,6,20
7262,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,16,10,6
7263,Walton St / Elizabeth St - SMART,43.657838,-79.38631,20,3,17
7264,Bloor St E / Huntley St - SMART,43.671535,-79.379173,16,3,11
7265,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,12,0,12
7266,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,20,14,6
7267,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,16,11,5
7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,16,9,7
7269,Toronto Eaton Centre (Yonge St),43.655431,-79.380653,14,9,4
7270,Church St / Dundas St E - SMART,43.657024,-79.377257,15,11,4
7271,Yonge St / Alexander St - SMART,43.662862,-79.383572,18,6,12
7272,Yonge St / Dundonald St - SMART,43.665801,-79.384796,12,8,4
7273,Bay St / Charles St - SMART,43.668153,-79.38891,20,5,15
7274,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,12,11,1
7275,Queen St W / James St,43.652276,-79.380701,11,4,7
7276,Bloor St W / Balmuto St,43.669903,-79.387802,11,11,0
7277,Chorley Park - SMART,43.6856,-79.3718,20,4,16
7278,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,16,7,9
7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,16,4,12
7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,20,4,16
7281,Charles St W / Balmuto St - SMART,43.668427,-79.38725,16,8,8
7282,Adelaide St W / Bay St - SMART,43.650152,-79.379856,20,8,12
7283,Front St W / Bay St (South Side),43.64595,-79.378761,19,8,10
7284,University Ave / King St W - SMART,43.6477785,-79.3847928,16,13,3
7285,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,36,3,33
7286,Gerrard St E / Broadview - SMART,43.665656,-79.352055,18,9,9
7287,Queen St E / Pape Ave - SMART,43.661673,-79.337789,8,5,2
7288,Humber Bay Shores Park West,43.6224434,-79.480284,31,26,5
7289,Humber Bay Shores Park East,43.6308933,-79.4722622,23,10,13
7291,190 Queens Quay E,43.6451308,-79.3653644,15,0,15
